Trait,Source,Definition
Binomial,UK_flora-explorer,"Species binomen according to Stace, 2019"
authors,UK_flora-explorer,"Author associated with the species binomen according to Stace, 2019"
order,UK_flora-explorer,Taxonomic rank: Order
family,UK_flora-explorer,Taxonomic rank: Family
genus,UK_flora-explorer,"Taxonomic rank, sensu Stace 2019: Genus"
species,UK_flora-explorer,"Taxonomic rank, sensu Stace 2019: Series"
WCVP_URL,UK_flora-explorer,URL to main taxon name on World Checklist of Vascular Plants
POWO_URL,UK_flora-explorer,URL to main taxon name on Plants of the World Online
IPNI_URL,UK_flora-explorer,URL to main taxon name on International Plants Name Index
accepted_WCVP_URL,UK_flora-explorer,URL to WCVP accepted taxon name on World Checklist of Vascular Plants if different from main taxon name
StaceIV_nativity,UK_flora-explorer,Description of native status according to Stace 2019.
Atlas_nativity_viaALIENATT_PLANTATT,UK_flora-explorer,"Description of native status according to Atlas of the British Isles, obtained from PLANTATT, 2008 and ALIENATT"
Stace_Crawley_nativity_aliens,UK_flora-explorer,"Description of native status according to Alien Plants by Stace & Crawley, 2015."
SLA,UK_flora-explorer,"Specific Leaf Area (total leaf area per total leaf dry mass) in mm2 mg-1, mean value taken from publicly available data from TRY database"
LDMC,UK_flora-explorer,"Leaf Dry Matter Content (oven-dry mass per fresh mass) in g g-1, mean value taken from publicly available data from TRY database"
seed_mass,UK_flora-explorer,"Seed mass in mg, mean value taken from publicly available data from TRY database"
leaf_area,UK_flora-explorer,"Leaf area in mm2, mean value taken from publicly available data from TRY database"
mean_veg_height,UK_flora-explorer,"Vegetative plant height in m, mean value taken from publicly available data from TRY database"
max_veg_height,UK_flora-explorer,"Vegetative plant height in m, maximum value taken from publicly available data from TRY database"
L_PLANTATT,UK_flora-explorer,"Ellenberg indicator values, describing realised niche for light, small numbers indicate affinity to low light (deep shade), high numbers bright conditions, determined for British plants"
F_PLANTATT,UK_flora-explorer,"Ellenberg indicator values, describing realised niche for moisture (German ëFeuchtigkeití), small numbers indicate affinity to arid conditions, values of 10 or higher describe plants living as aquatics or submerged (12), determined for British plants"
R_PLANTATT,UK_flora-explorer,"Ellenberg indicator values, describing realised niche for soil acidity (reactivity - R), determined for British plants"
N_PLANTATT,UK_flora-explorer,"Ellenberg indicator values, describing realised niche for soil fertility (termed íNí, due to focus on nitrogen), determined for British plants"
S_PLANTATT,UK_flora-explorer,"Ellenberg indicator values, describing realised niche for salinity, determined for British plants"
L_Doring,UK_flora-explorer,"Ellenberg indicator values, describing realised niche for light, determined for central European plants"
F_Doring,UK_flora-explorer,"Ellenberg indicator values, describing realised niche for moisture (German ëFeuchtigkeití), determined for central European plants"
R_Doring,UK_flora-explorer,"Ellenberg indicator values, describing realised niche for soil acidity (reactivity - R), determined for central European plants"
N_Doring,UK_flora-explorer,"Ellenberg indicator values, describing realised niche for soil fertility (termed íNí, due to focus on nitrogen), determined for central European plants"
S_Doring,UK_flora-explorer,"Ellenberg indicator values, describing realised niche for salinity, determined for central European plants"
T_Doring,UK_flora-explorer,"Ellenberg indicator values, describing realised niche for temperature, determined for central European plants"
ECPE_CSR,UK_flora-explorer,"Life strategy of species as described by Grime (1974). Each species falls in to a triangular space formed by the extremities (C, S, R), describing its typical life strategy tendency."
predicted_CSR,UK_flora-explorer,"Life strategy of species as described by Grime (1974). Each species falls in to a triangular space formed by the extremities (C, S, R), describing its typical life strategy tendency."
growth_form,UK_flora-explorer,Plant growth form as determined by TRY contributors Engemann and G¸nther
