Binomial,authors,order,family,genus,species,WCVP_URL,POWO_URL,IPNI_URL,accepted_WCVP_URL,StaceIV_nativity,Atlas_nativity_viaALIENATT_PLANTATT,Stace_Crawley_nativity_aliens,SLA,LDMC,seed_mass,leaf_area,mean_veg_height,max_veg_height,L_PLANTATT,F_PLANTATT,R_PLANTATT,N_PLANTATT,S_PLANTATT,L_Doring,F_Doring,R_Doring,N_Doring,S_Doring,T_Doring,ECPE_CSR,predicted_CSR,growth_form,succulence,life_form,biome,origin,TDWG_level_1_code,GB_Man_hectads_post2000,Ire_hectads_post2000,CI_hectads_post2000,GB_Man_hectads_1987_1999,Ire_hectads_1987_1999,CI_hectads_1987_1999,GB_Man_hectads_2000_2009,Ire_hectads_2000_2009,CI_hectads_2000_2009,GB_Man_hectads_2010_2019,Ire_hectads_2010_2019,CI_hectads_2010_2019,hybrid_propensity,scaled_hybrid_propensity,BOLD_link1,BOLD_link2,BOLD_link3,GS_1C_pg,GS_2C_pg,GS_1C_Mbp,GS_2C_Mbp,from_BI_material,data_source,sporophytic_chromosome_number,infraspecific_variation_chrom_number,other_reported_sporophytic_chromosome_number,source_of_other_chrom_num,AccSpeciesName,Actual EvapoTranspiration,After-ripening requirement,Altitude,Altitude (maximum recorded),Altitude (minimum recorded),Altitude (typical minimum),Annual precipitation,Annual seed dispersal,Appendages on dispersal unit,Average annual relative humidity,Average number of ground frost days per year (sum) (FRS),British distribution (post 1949 records),Carnivory,Change Index,Chromosome cDNA content,Chromosome number,Chromosome ploidy,Cleistogamy,Clonality,Cloud cover,"Comments, notes, methods","Dicliny (monoeceous, dioecious, hermaphrodite)",Dispersal syndrome (agent),Dispersal unit (dispersule / diaspore) length,EW Index,Ecosystem rooting depth,Ellenberg indicator value: Light,Ellenberg indicator value: Moisture,Ellenberg indicator value: Salt tolerance,Ellenberg indicator value: nitrogen,Ellenberg indicator value: pH (reaction),End of flowering,Epoch,Exposure,Fern  and moss spore width (diameter),Fertilization,Fine root diameter,First historical record: 1. date,First historical record: 2. site,Flower pollen ovule ratio,Flowering period: peak month,Fraction of absorbed photosynthetic active radiation (FAPAR) of the site,GPP of the site,Genera growth form,Germination requirements 1. chilling,Germination requirements 2. light,Germination requirements 3. temperature fluctuation,Germination type,Habitat / plot description,Heteromorphy,Heterophylly,Identifier within contributed dataset (ID),Inbreeding,Incompatibility systems,Intensity of mycorrhizal infection,January mean temperature,July mean temperature,Latitude,Leaf Relative water content (water content / water content at saturation),Leaf Water content (molar) per leaf dry mass (WCd),Leaf Water content saturating (molar) (WCs),Leaf Water content total (molar) (WCt),Leaf area index of the site (LAI),Leaf area: in case of compound leaves undefined if leaf or leaflet; undefined if petiole and rhachis in- or excluded,Leaf carbon content per area,Leaf carbon content per dry mass,Leaf carbon/nitrogen (C/N) ratio,Leaf carotenoid content per dry mass,Leaf chlorophyll a content per dry mass,Leaf chlorophyll a+b content per area,Leaf chlorophyll a/b ratio,Leaf chlorophyll b content per dry mass,Leaf chlorophyll content (a+b) per dry mass,Leaf compoundness,Leaf dry matter content per leaf water-saturated mass (LDMC),Leaf lamina thickness,"Leaf lifespan (longevity, retention time, LL)",Leaf nitrogen content per area (Narea),Leaf nitrogen content per dry mass (Nmass),Leaf petiole length,Leaf phenology type,Leaf phosphorus content per area (Parea),Leaf phosphorus content per dry mass (Pmass),Leaf position,Leaf respiration per area at leaf temperature,Leaf respiration per dry mass,Leaf shape: 2. outline,Leaf shape: 3. pointed/round,Leaf shape: 4. length versus breadth,Leaf shape: 5. leaf base,Leaf shape: 6. leaf petiole type,Leaf thickness,Leaf tissue density,Leaf transpiration (molar) per dry mass,Leaf transpiration rate per dry mass (daytime),Leaf water content per leaf dry mass,"Leaf water content per leaf water-saturated mass (LWC, 1-LDMC)",Leaf water content saturating,Leaf water content total,Leaf water saturation deficit,Length of growing season (LGP),Location / Site Name,Location Country,Longitude,Major Phylogenetic Group,Maximum Green Vegetation Fraction,Maximum depth of leaves in the canopy,Maximum temperature at which 50% seeds germinate,Maximum temperature of germination,Mean annual sum of potential evapotranspiration (PET),Mean annual temperature (MAT),Mean clear-sky surface radiation budget from ERBE global: Global shortwave radiation budget data derived from 5 Years of ERBE measurements,Mean cloud forcing surface radiation budget from ERBE global: Global shortwave radiation budget data derived from 5 Years of ERBE measurements,Mean cloud surface radiation budget from ERBE global: Global shortwave radiation budget data derived from 5 Years of ERBE measurements,Mean number of wet days per year,Mean sum of annual precipitation (PPT / MAP / TAP),Mid Point,Minimum temperature at which 50% seeds germinate,Minimum temperature germination,Mono/poly carpic,Mycorrhizal type,NDVI of the site,NPP of the site (2),Net primary productivity of the site (NPP),Normal method of propagation,Northern Limit in Britain,Northern Limit in Europe,Number of European countries in which native,Nutrition (autotroph versus heterotroph),"Onset of flowering (first flowering date, beginning of flowering period)",Order,Photoperiodism: threshold value (h),Photoperiodism: type,Photosynthesis per leaf area at leaf temperature (A_area),Photosynthesis per leaf dry mass (Amass),Physical defences on buds,Physical defences on flowers/fruits,Physical defences on leaves,Physical defences on stems,Plant age at first flowering (primary juvenil period),Plant growth form,Plant height (unspecified if vegetative or reproductive),Plant life form (Raunkiaer life form),Plant photosynthetic pathway,Plant relative growth rate (RGR),Pollen viability,Pollen: 1. mono/di-morphic,Pollen: 2. diameter (um),Pollination syndrome (pollen vector),Precipitation Seasonality (Coefficient of Variation),Precipitation of Coldest Quarter,Precipitation of Driest Month,Precipitation of Driest Quarter,Precipitation of Warmest Quarter,Precipitation of Wettest Month,Precipitation of Wettest Quarter,Priestley-Taylor alpha coefficient,Range: 1. european countries where native,Range: 2. european countries where introduced,Range: 3. continents where native,Range: 4. continents where introduced,Reference / source,Root architecture / root system / root habit,Root hair length,Root hairs,"Root persistence (livespan, longevity)",Root rooting depth ,SLA: undefined if petiole in- or excluded,SN Index,Salinity Tolerance,Seed / ovule ratio,Seed dry mass,Seed length (largest dimension length),Seed number per plant,Seed shedding season (time of seed dispersal),Seed viability,Seedbank density,Seedbank longevity,Seedbank type,Seeds per flower,Soil C content per ground area,Soil N content per ground area,Soil bulk density,Soil field capacity,Soil ph,Soil plant available water capacity of rooting zone (derived from remote sensing) 1,Soil plant available water capacity of rooting zone (derived from remote sensing) 2,Soil profile available water capacity,Soil thermal capacity,Soil water content (SWC),Soil wilting point,Solar radiation (kJ m-2 day-1),Southern Limit in Europe,Species conservation status,Species continentality,Species eastern limit,Species nutrient requirements (in soil),Species nutrient requirements (in water),Species occurance dynamics (increasing / decreasing),Species origin,"Species pH requirement ( soil, extreme minimum)","Species pH requirement ( soil, typical minimum)","Species pH requirement (soil, extreme maximum)","Species pH requirement (soil, typical maximum)","Species pH requirement (water, extreme maximum)","Species pH requirement (water, extreme minimum)","Species pH requirement (water, typical maximum)","Species pH requirement (water, typical minimum)",Species rarity status,Species soil moisture requirements (drainage),Species soil moisture requirements (supply),Species soil moisture requirements (water table),Species status (nativity at growth location),Species synonyms (alternative name),Spread (plant height versus plant width relationshp)),Stem longevity,Stem self-supporting,Stomata density,Stomata density on lower surface,Stomata density on upper surface,Stomata distribution (surfaces present),Subclass,Temperature sum of growing degree days (GDD),Temperature: Annual Range,Temperature: Isothermality (BIO2/BIO7) (* 100),Temperature: Max Temperature of Warmest Month,Temperature: Mean Diurnal Range (Mean of monthly (max temp - min temp)),Temperature: Mean Temperature of Coldest Quarter,Temperature: Mean Temperature of Driest Quarter,Temperature: Mean Temperature of Warmest Quarter,Temperature: Mean Temperature of Wettest Quarter,Temperature: Min Temperature of Coldest Month,Temperature: Seasonality (standard deviation *100),Terrestrial chlorophyll index of the site,Time (season) of germination (seedling emergence),Tolerance (resistance) to heavy metals,Tolerance to drought,Tolerance to frost (non-woody tissue),Tolerance to frost (seedlings),Tolerance to grazing,Tolerance to shade,Typical abundance where naturally occurring,Vegetation type / Biome,Vegetative regeneration / reproduction (clonal spread),Vegetative reproduction: pattern forming,Water vapor pressure (kPa),Wetness/Humidity/Aridity of area where samples were taken,Wind speed (m s-1),Woodiness
abies alba,Mill.,Pinales,Pinaceae,Abies,alba,https://wcvp.science.kew.org/taxon/60468511-2,http://plantsoftheworldonline.org/taxon/60468511-2,https://ipni.org/n/60468511-2,,Neo-natd,AN,Neo,7.698508098,0.529816331,65.61283431,255.0291582,46.84389333,68,,,,,,3,,,,0,5,,S,Tree,,phanerophyte / tree,,mountains in C Europe,1,382,230,0,230,28,0,120,179,0,303,89,0,,,,,,17.27,34.54,16891.68,33783.36,n,marda et al. 2019,,,24,"marda et al. 2019, Zonneveld, 2019",Abies alba,657,,1434,,,,,mast,wings,69,242.1,,does not kill insects,,34.46533333,24,2,,,62.3,,monoecious,,32,,1.100000024,,,,,,,,,,,,1603,vc 55,,,0.456,1306.5,,,,,,,,none,34547,,,,,,42.71645,,299.8898262,,,1.576527834,0.1-1,,50.45,43.09452387,,,,,,,simple,331.93,0.2-0.5,,,0.9536,0,evergreen,,0.1041,,,,entire,rounded,>3 times as long as wide,parallel sided,sessile,0.469015625,269.5853545,,,2.012683397,66.807,,,,8,,Spain,0.852721,Gymnosperms,97,,,,720,7.595833393,191.8274231,-53.75724793,138.0713348,126.1,1144,,,,polycarpic,Ecto,0.564135432,758.9000244,724.7,seed,,,,autotrophic,,Pinales,,,,49,,glabrous,,soft hairs,>20,T,2500,Megaphanerophyte,,,,,124.8,wind,15.63462378,268,69,246,246,120,329,93,,,,,Ogaya Penuelas 2003,,,,,,53.99422821,,,,,12,,autumn,,partial,,,2,16.42270088,1926.5,1.309999943,451.3739929,5.46600008,361.7000122,378.7000122,268.5820007,1.054999948,97,182.7920075,14539.66667,,,,,fertile,,,Archeophyt in British Islands,,,,,,,,,,free draining,,,,,ht >> width,100-500,self supporting,,64,,lower,Pinidae,1230,22.79999971,34.17818679,19.70000076,7.625000123,1.783333321,14.46666654,15.25000016,5.133333365,-3.5,564.5345229,2.180596352,,,,resistant,,,,,4,,no ramets,0.75083334,1.5465,4.458333333,woody
abies amabilis,Douglas ex J.Forbes,Pinales,Pinaceae,Abies,amabilis,https://wcvp.science.kew.org/taxon/325658-2,http://plantsoftheworldonline.org/taxon/325658-2,https://ipni.org/n/325658-2,,,,,86.69076923,,42.27712579,,50.14852174,75,,,,,,,,,,,,,,Tree,,phanerophyte / tree,,W N America,7,11,0,0,7,0,0,5,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abies cephalonica,Loudon,Pinales,Pinaceae,Abies,cephalonica,https://wcvp.science.kew.org/taxon/261486-1,http://plantsoftheworldonline.org/taxon/261486-1,https://ipni.org/n/261486-1,,Neo-natd,AN,Neo,6.530925693,,71.43,,25.875,40,,,,,,,,,,,,,,Tree,,phanerophyte / tree,,Greece,1,11,0,0,6,0,0,1,0,0,9,0,0,,,,,,18.14,36.27,17738,35476,,C-ValueDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abies fraseri,(Pursh) Poir.,Pinales,Pinaceae,Abies,fraseri,https://wcvp.science.kew.org/taxon/1030488-2,http://plantsoftheworldonline.org/taxon/1030488-2,https://ipni.org/n/1030488-2,,Neo-surv,AN,Neo,6.071,,7.202711808,22.80183633,20.1384,27,,,,,,,,,,,,,,Tree,,phanerophyte / tree,,E N America,7,2,0,0,0,0,0,0,0,0,2,0,0,,,,,,17.24,34.47,16856,33712,,C-ValueDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abies grandis,(Douglas ex D.Don) Lindl.,Pinales,Pinaceae,Abies,grandis,https://wcvp.science.kew.org/taxon/1033427-2,http://plantsoftheworldonline.org/taxon/1033427-2,https://ipni.org/n/1033427-2,,Neo-surv,AN,Neo,11.0563714,,22.44465458,59.856,27.37364286,100,,,,,,,,,,,,,,Tree,,phanerophyte / tree,,W N America,7,567,73,0,327,11,0,268,35,0,436,40,0,,,,,,17.55,35.1,17163.9,34327.8,n,"Zonneveld, 2019",,,24,"Zonneveld, 2019",Abies grandis,597,,1446,1830,,200,,irregular,wings,71,277.1,,,,34.46533333,24,2,,,71.4,,monoecious,wind,,,1.5,,,,,,7,,,,,,1831,vc 16,,6,0.663069427,1373.2,,,partial,,,,,None,31599.5,,,,,,44,,,,,2.693194389,1.5,,,,,,,,,,simple,,,>24,,Oct-20,,evergreen,,2,,,,entire,emarginate,>3 times as long as wide,,subsessile,0.4738,345.5,,,1.928859652,65.45,,,,5,Warsaw University of Life Sciences Arboretum in RogÃ³w,USA,-122,Gymnosperms,100,,,,864,5.787499947,186.8872528,-49.29966736,137.5906677,96.1,1388,,,,polycarpic,"ecto, ectendo",0.764138043,348.7999878,738.6,seed,,,0,autotrophic,,Pinales,,,,51.74,,,,,>20,T,5400,phanerophyte,,,,,,,66.16861578,622,23,106,108,238,669,69,,,North America,,"Foiles, Marvin W.; Graham, Russell T., Olson, David F., Jr. 1990 Silvics of North America. Volu...",tap,,,,>100,113.3,,,,,8,1000-10000,autumn,many non-viable,,03-Dec,,100-1000,28.14389992,1997.530029,1.175879955,385.4049988,6.505000114,253.5,258.7000122,251.9179993,0.952520013,78,133.4859924,14165.66667,,,,,fertile,,,Archeophyt in British Islands,5,,,,,,,,,,,periodically high,,,height > width,100-500,self-supporting,,,,lower,Pinidae,1247,23.9000001,43.61924647,17.5,10.42499995,0.166666587,12.28333338,12.9000001,0.833333274,-6.400000095,528.9574912,2.455260277,,,resists,,,,,,5,,,0.587499999,1.6643,3.508333286,woody
abies nordmanniana,(Steven) Spach,Pinales,Pinaceae,Abies,nordmanniana,https://wcvp.science.kew.org/taxon/261599-1,http://plantsoftheworldonline.org/taxon/261599-1,https://ipni.org/n/261599-1,,Neo-surv,AN,Neo,,,77.41835694,,48.96,70,,,,,,,,,,,,,,Tree,,phanerophyte / tree,,Caucasus,"1, 3",147,18,0,26,0,0,29,7,0,124,10,0,,,,,,17.6,35.2,17212.8,34425.6,n,"Zonneveld, 2019",,,24,"Zonneveld, 2019",Abies nordmanniana,,,,,,,,,wings,,,,does not kill insects,,,24,,,,,,monoecious,,17,,,,,,,,,,,,,,1848,vc 22,,,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,simple,,,,,,0,evergreen,,,,,,entire,emarginate,>3 x as long as wide,parallel sided,sessile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,polycarpic,Ecto,,,,seed,,,,autotrophic,,,,,,,,glabrous,,,,,4400,,,,,,,,,,,,,,,,,,,,"Stace,C. 2010 New FLora of the British Isles, third edition   Cambridge University Press",,,,,,,,,,,8,,wind,,partial,,,2,,,,,,,,,,,,,,,,,fertile,,,Archeophyt in British Islands,,,,,,,,,,free,,,,,ht >> width,,self-supporting,,,,,,,,,,,,,,,,,,,,,resistant,,,,,,,no ramets,,,,woody
abies procera,Rehder,Pinales,Pinaceae,Abies,procera,https://wcvp.science.kew.org/taxon/676607-1,http://plantsoftheworldonline.org/taxon/676607-1,https://ipni.org/n/676607-1,,Neo-surv,AN,Neo,13.41314934,,33.55245531,,54.49635714,87,,,,,,,,,,,,,,Tree,,phanerophyte / tree,,W N America,7,444,101,1,202,12,0,183,80,0,354,36,1,,,,,,17.2,34.4,16821.6,33643.2,n,"Zonneveld, 2019",,,24,"Zonneveld, 2019",Abies procera,543,none,817.5,,,,,mast,wings,74.5,250,,does not kill insects,,34.46533333,24,2,,,71.45,,,wind,37,,1.050000012,,,,,,,,,,,,,,,,0.538569435,1055,,,,,,,,,81844,,,,,,47.74,,,,,1.922152758,,,,,,,,,,,simple,,,,,1.37,0,sessile,,,,,,,rounded,> 3 times as long as broad,parallel sided,,0.43005,474.5,,,1.123726659,52.55,,,,7,Warsaw University of Life Sciences Arboretum in RogÃ³w,USA,-51.24,Gymnosperms,98.5,,,,803,6.833333345,168.2528763,-52.37133408,115.8840027,130.65,974.5,,,,polycarpic,"ecto, ectendo",0.653809249,430.8999939,610.75,seed,,,,autotrophic,,Pinales,,,,41.055,glabrous,,,hairy,> 20 yrs,T,47,,,,,,,,52.27379763,356.5,23.5,95,164.5,158.5,445,67,,,North America,,"Stace,C. 2010 New FLora of the British Isles, third edition   Cambridge University Press",,,,,,100.1030055,,,,,12,,autumn,some non-viable,partial,3-12 months,,24,20.44719982,1675.26001,1.328889966,391.798996,6.065999985,222.9000015,219.9000092,246.4915009,1.068539977,73.5,145.3064957,12275.125,,,,,fertile,,,Archeophyt in British Islands,,,,,,,,,,free draining,,,,,ht >> width,> 500,self-supporting,,,,,Pinidae,1475.5,27.25000024,36.47465596,19.60000038,9.700000045,-0.89166671,5.841666679,15.09166686,9.058333446,-7.649999857,654.7532143,2.103674471,spring,,,resistant,sensitive,,mid,,4,,monoecious,0.746666672,1.22025,3.549999962,woody
abutilon theophrasti,Medik.,Malvales,Malvaceae,Abutilon,theophrasti,https://wcvp.science.kew.org/taxon/1044174-2,http://plantsoftheworldonline.org/taxon/1044174-2,https://ipni.org/n/1044174-2,,Neo-casual,AC,Neo-casual,26.36373109,,8.7972,,1.35,2,,,,,,,,,,,,,,Herb,,therophyte,,SE Europe,1,45,5,0,58,0,0,22,2,0,25,3,0,,,,,,0.95,1.9,930.84,1861.69,n,marda et al. 2019,,,42,"C-ValueDB, marda et al. 2019",Abutilon theophrasti,776.5,,331.5,,,,,,,68,190.2,,does not kill insects,,2.49,42,6,,,64,,,,3.2,,1,,,,,,10,PPH,,,cross and self,,1596,,,8,0.397666663,799.6,HST,,,,,,,,62527.5,,,,,,39.09,,,,,1.103888869,,,42.396,8.214687076,,,,,,,simple,,,03-Jun,,5.161,700,aestival,,<1,,,,toothed,acuminate,length=width,cordate,petiolate,0.12,270.1500127,,,,,,,,9.5,"margin of a cornfield near Urbana, Illinois",USA,-92.395,Angiosperms,86.5,,,,1104.5,12.05833333,191.3488312,-53.22149849,141.8674164,80.25,953,2.65,,,polycarpic,,0.522208333,639.3499756,283.5,seed,,,,autotrophic,7,Malvales,,,,348,soft hairs,,,,06-Dec,H,100,therophyte,,,,,58,,51.14382711,92.5,25.5,92.5,322,135,361,70,,"France, Portugal, Spain","Europe, N.Africa, S.W.Asia, W. Palearctic","Asia (trop), North America, East Asia","Stace, C.A. 2010    New Flora of the British Isles, Cambridge University Press.",tap,,,,shallow,250,,,,0.009,,1000-10000,,,,>20,,,15.30810022,1657.424988,1.432350039,428.2054901,6.591500044,202.699997,151.699997,244.0665054,1.14783001,73,181.5619965,15028.79167,,,,,fertile,,,Archeophyt in British Islands,,,,,,,,,,free-draining,,,,,height = width,,self,,,,,Magnoliidae,3056,40.1500001,28.50940061,31.5,11.45000003,-1.149999936,-1.149999936,24.4333334,21.98333327,-9.300000191,1027.379379,1.685550332,,,,,,,,,8,,no ramets,1.1,0.83975,4.295833339,woody at base
acacia melanoxylon,R.Br.,Fabales,Fabaceae,Acacia,melanoxylon,https://wcvp.science.kew.org/taxon/470873-1,http://plantsoftheworldonline.org/taxon/470873-1,https://ipni.org/n/470873-1,,Neo-natd,AN,Neo-natd,16.00556778,0.315110715,12.64666771,1573.245143,25.526,40,,,,,,,,,,,,,S/CSR,Shrub,,phanerophyte / tree,,Australia,5,6,0,0,1,0,0,2,0,0,5,0,0,,,,,,0.8,1.59,779,1558,n,C-ValueDB,,,26,C-ValueDB,Acacia melanoxylon,654,,310.5,,,,,,,62.5,99.8,,,,2.354886364,39.2125,3.0125,,,53.75,,,,,,1.300000012,,,,,,,Eocene,,,,,,,,,0.596791685,1654.15,HST,,,,,,,,79623,,,,,,-34.838365,,,,,2.110694408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Cedar Brush,Australia,147.83278,Angiosperms,87,,,,1246.5,15.22500005,219.0064621,-49.59779167,169.4107513,92.05,751.5,44.95,,,,,0.564656243,631,952.75,,,,,,,Fabales,,,,,,,,,,T,,,,,,,,,18.78055983,161.5,48,157.5,209,91,236,52,,,,,Fonseca et al 2000,,,,,,81.53655636,,,,,,,,,,,,,11.30189991,1023.497528,1.609239995,408.3120117,7.250499964,185.5500031,184.6500015,202.1165009,1.27907002,51.5,206.1954956,16325.66667,,,,,,,,Archeophyt in British Islands,,,,,,,,,,,,,,,,,,,,,,Magnoliidae,3842.5,21.80000067,43.87696258,25.45000076,9.549999893,9.75000004,14.34166678,20.60833351,18.30833348,3.650000095,438.4061767,2.257026434,,,,,,,,,4,,,1.167916678,0.61685,4.183333357,
acaena anserinifolia,(J.R.Forst & G.Forst) Druce,Rosales,Rosaceae,Acaena,anserinifolia,https://wcvp.science.kew.org/taxon/60466122-2,http://plantsoftheworldonline.org/taxon/60466122-2,https://ipni.org/n/60466122-2,,Neo-natd,AN,Neo-natd,24.45398604,,1.26,82.4,0.154166667,0.2,,,,,,,,,,,,,,Herb,,chamaephyte,,New Zealand,5,41,6,0,10,2,0,14,3,0,32,4,0,1,100,,,,,,,,,,,,,,Acaena anserinifolia,,,,,,,,,,,,,does not kill insects,,,,,,,,,hermaphrodite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compound,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arbuscular,,,,,,,,autotrophic,,,,,,,,,,,,,15,,C3,,,,,,,,,,,,,,,,Australasia,,"Stace CA 1992    New Flora of the British Isles, Cambridge University Press.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,infertile,,,Archeophyt in British Islands,,,,,,,,,,,,,naturalised,,,,procumbent,,,,,,,,,,,,,,,,,,,,,,,,none,,,,,,,,
